Month_Year,URL,Title,Title,Date,Description,
December 2014,https://little-berlin.squarespace.com/calendar/2014/12/20/holidaze-fund-raiser-and-party,HOLIDAZE FUND RAISER AND PARTY,HOLIDAZE FUND RAISER AND PARTY,"

          Saturday, December 20, 2014


            8:00 PM
            20:00




          Sunday, December 21, 2014


            3:00 AM
            03:00


        ","$12 FUNDRAISER. +GET A FUN DRINK. DON'T WORRY ABOUT IT.

We are holding an Xmas themed fund raiser party to round out the year before it is too cold to hang out in the gallery! We are going to have food and drink as well as some weird activities and finish the night with a dance party. Come help us get through the cold winter months!

ALL NIGHT: SCREENING OF HOME ALONE AND NAUGHTY XXXMAS FILMS IN THE BATHROOM
ALL NIGHT: TRASH SANTA PHOTOBOOTH IN THE ANNEX WITH REVEREND ERIC DANGER CLARK

Little Berlin Main Gallery
8PM - 10PM Winter food favorites buffet.
9PM BAD ART WHITE ELEPHANT GIFT EXCHANGE
Bring bad, bad art from your studio or from the thrift store. Please don’t spend any money! Try to win your favorite artwork. Bribing and hijinx encouraged. We'll have extra artwork but bring your own too. Yes.

10PM - 3AM MEGA DANCE PARTY
TONYMONT (Magic Death Sounds)
#Kismet #Rap #Remix #90s #Mashup #SeerSucker
https://soundcloud.com/tonymont

dj #izaakschlossman
(it's a hit with the goofballs)
(-> STAR CIRCLE ANATOMY)
#Tech #No
https://soundcloud.com/starcircleanatomy (Ace Of Tapes / Ego Huffing)

Little Berlin Annex
8PM - 3AM TRASH SANTA PHOTOBOOTH with Reverend Eric Danger Clark

Little Berlin Bathroom
8PM - 3AM Screening Home Alone and Naughty XXXmas films 
+ Mistletoe",
November 2014,https://little-berlin.squarespace.com/calendar/2014/11/22/the-floral-kombat-finish-them-dinner-party,The Floral Kombat FINISH THEM! Dinner Party,The Floral Kombat FINISH THEM! Dinner Party,"Saturday, November 22, 2014","Will Owen concludes his time based plant piece with a three course dinner using the plants he grew in the gallery at Little Berlin.

The Floral Kombat FINISH THEM! Dinner Party
Little Berlin, 2430 Coral Street
November 22 at 8:00PM
$3 suggested donation
littleberlin.org/

Artist: Will Owen
Curated by Maddie Hewitt

For the exhibit Hard To Please, curated by Maddie Hewitt at Little Berlin, New York artist Will Owen has brought kudzu vines back to Philadelphia illegally sent through USPS from a rural town in the Smokey Mountains. Kudzu and the other invasive plants are on the “orange team” and the more traditionally cultivated plants are on the “purple team.”

Floral Kombat is a small scale experiment demonstrating how invasive plant species overrun other plants in their immediate vicinity if left unattended. This time based installation includes invasive plants--kudzu and peppermint--that grow alongside other edible, more constrained plants in a large vitrine planter. Throughout the duration of Little Berlin’s exhibit, Hard To Please, the plant growth in the gallery represents the changing landscapes in America, and how it relates to a slow competition for life.

Owen grew up in rural Western North Carolina among the Smoky Mountains. The area is a temperate rainforest diverse with deciduous and coniferous vegetation. Over the last several decades large swaths of the indigenous landscape have become engulfed by kudzu; a perennial vine native to Asia. Kudzu is venerated in Japan where it’s root is dried and powdered and used as a thickener. There are places in Haywood County, North Carolina and across the southern states of America that are now enveloped by kudzu, where the vines are known to grow up to a foot per day in mid-summer.

Kudzu was introduced to the United States as an ornamental bush and an effortless and efficient shade producer at the Philadelphia Continental Exposition in 1876. In the 1930s and ‘40s, the vine was rebranded as a way for farmers to stop soil erosion. Southern farmers were given about eight dollars an hour to sow topsoil with the invasive vine. The cultivation covered over one million acres of kudzu.(1)

Will Owen is an artist working primarily with design, interactive media, sound, and food. Originally from western North Carolina and currently based in a few city centers of the American northeast, Will is interested in the social intersections of the organic & synthetic, memory & perceived reality, and Fozzie Bear & Miss Piggy. Will is currently an artist in resident at Flux Factory in Queens, New York. Recently, Will had an installation at the original site of the Black Mountain College and was included in a 2014 Harvard peer-reviewed study of the “most memorable data visualizations” regarding his design work for the international medical humanitarian aid organization Doctors Without Borders.

1.) Kudzu: The Vine that Ate the South; PorterBriggs.comhttp://porterbriggs.com/the-vine-that-ate-the-south/",
October 2014,https://little-berlin.squarespace.com/calendar/2014/10/27/art-crit-club-bangerz-karaoke,ART CRIT + CLUB BANGERZ KARAOKE,ART CRIT + CLUB BANGERZ KARAOKE,"Monday, October 27, 2014","1.Bring some art work to share (2D, 3D, writings, poetry, digital, video, performance, anything!) have a group of peers provide feedback and comment on your work. 

2.Choose a song*.

3. Hip Hop Karaoke.

Refreshments will be served. 

We have every hip hop song ever.
*Suggestions: TLC, NEXT, 2Chainz, Ashanti, Ja Rule, Wiz Khalifa, Nikki Minaj, Busta, ODB, Ty Dolla $ign, Miley, Migos, Rick Rozay, Schoolboy Q, Rihanna, Meek Mill, T.I., Pusha T, Chief Keef, Jeremih, B.O.B., DJ Khaled, Juicy J, Gucci Mane, Yo Gotti, Queen Bey, Waka Flocka, Weezy, Azalea Banks, YG, French Montana, Rich Boy, Far East Movement, Ab-Soul, Santigold, IGGY AZALEA, Trey Songz, Childish Gambino, MF DOOM, KANYEEZY, T-Pain, FUTURE, NELLY, Ludacris, Yo Gotti, Pharrell, A$AP ROCKY, Birdy Nam Nam, Kendrick Lamar, Lil Durk, Major Lazer, Kreayshawn, Ciara, Snoop Lion/Dogg/Doggfather/Uncle, Fitty Cent, Juicy J, Kevin Gates, Jason Derulo, Wale, Odd Future Wolfgang Kill Them All, Mos Def and Talib Kweli are Blackstar, E-40, Young Thug, Kitty Pryde, Fergilicious, Ne-Yo, Charlie XCX, I LOVE MAKKONEN , A$AP Ferg, Rich Kids Makin' Noise (Hot Cheetos and Takis), Rich Homie Quan, Biggie, Sia, Snootie Wild, Big K.R.I.T., Project Pat, Wu Tang, JAY Z, Chance The Rapper, Kid Cudi, DMX, Ja Rule, Angel Haze, M.I.A., Lady Sov, MISSY ELLIOTT MUTHAFUKA, Riff Raff, Lil Debbie, Katy Perry (sure, why not), Ke$ha

**We respectfully decline requests for the Champagne Papi.

FREE (donations are greatly appreciated).",
September 2014,https://little-berlin.squarespace.com/calendar/2014/9/29/mondaze-film-screening,Mondaze: Film Screening,MONDAZE: FILM SCREENING,"Monday, September 29, 2014","For our weekly event we will be screening a number of cartoons including CARTUNE XPREZ 2008 and 2010.

Come hang out, eat some popcorn, enjoy a refreshment, and watch some trippy cartoons.

FREE but donations happily accepted.",
August 2014,https://little-berlin.squarespace.com/calendar/2014/8/25/aggression-therapy,Aggression Therapy,AGGRESSION THERAPY,"

          Monday, August 25, 2014


            7:00 PM
            19:00




          Tuesday, August 26, 2014


            9:00 PM
            21:00


        ","Aggression Therapy is a form a group therapy meant to relive stress. Not unlike a form a yoga.

Please bring a physical manifestation of that which you are enraged or oppressed by and be prepared to destroy it in a group of your peers.

Feel free to bring a soundtrack of your choice (music will also be supplied).

Let us express difficult emotions in a destructively healthy way.",
July 2014,https://little-berlin.squarespace.com/calendar/2014/7/28/the-founding-day-parade,The Founding Day Parade,THE FOUNDING DAY PARADE,"Monday, July 28, 2014","The Annex (at Little Berlin) is pleased to present a storytelling performance by Josh Beaver, Zac Beaver, and Morgan Everitt. 

""The Founding Day Parade"" is a performance about the Never Married Bride, her murderous father, The Poor Dead Boy, and the Founding of Sweet Heart City.

Admission is free. Show will begin promptly at 7:30p.

Josh's last performance at New Boone was reviewed by both the ArtBlog and Knight Arts. (http://newboone.com/2014/02/14/artblog-reviews-the-off-white-beast/)",
June 2014,https://little-berlin.squarespace.com/calendar/2014/6/24/summer-reading-potluck-series-community-arts-and-aesthetics,Summer Reading & Potluck Series: Community Arts and Aesthetics,SUMMER READING & POTLUCK SERIES: COMMUNITY ARTS AND AESTHETICS,"Tuesday, June 24, 2014","Join Little Berlin member Erin Bernard (of the Philadelphia Public History Truck) for a three-month Summer Reading BYOB potluck series on Community Arts and Aesthetics in the new Little Berlin Annex. 

The event is no cost, but a small donation is suggested toward the Annex. Please come with a dish to share and/or a drink of choice, an open mind, and some thoughts from your independent exploration of the texts that relate to your or other current work.

RSVP is required because space is limited. All genres and disciplines are welcome to attend. Please RSVP to Erin phillyhistorytruck@gmail.com to be added to the attendee list, for event-related updates, and for video links to supplementary video lectures. Let's eat together and learn from each other.

Reading Schedule
June 17
The Politics of Aesthetics by Jacques Ranciere
Relational Aesthetics by Nicolas Bourriaud

July 22
Living as Form: Socially Engaged Art from 1991-2011 by Nato Thompson
Letting Go?: Sharing Historical Authority in a User-Generated World by Bill Adair, Benjamin Filene, and Laura Koloski

August 19
Artificial Hells: Participatory Art and the Politics of Spectatorship by Claire Bishop
The One and the Many: Contemporary Collaborative Art in a Global Context by Grant Kester

We will discuss artists, curators, exhibition designers, historians such as Theaster Gates, Sam Durant, Mel Chin, Nina Simon, Rick Lowe, Michael Frisch, as well as other talks from the Creative Time Summit of 2013 .

Does community arts have an aesthetic? What is it? How do interdisciplinary creatives and community artists fit into larger conversations on aesthetics? Why should or should we not consider public history participatory art? How should we use the term social practice in 2014? Do any of these questions even matter at all?

 

Curated by Erin Bernard",
May 2014,https://little-berlin.squarespace.com/calendar/2014/5/16/you-deserve-to-be-happy,You Deserve to Be Happy,YOU DESERVE TO BE HAPPY,"Friday, May 16, 2014","Little Berlin is pleased to host the 2014 University of Delaware MFA thesis exhibition, the culmination of two years of dedicated studio practice and conversations with each other, faculty, and visiting artists. These works range across a broad spectrum, but all reflect where each artist’s thinking has evolved of the course of their time at the university. Each has pulled from their unique histories to develop work that represents their vision of the time in which we live.",
April 2014,https://little-berlin.squarespace.com/calendar/2014/4/4/manufacturing-fire,Manufacturing Fire,MANUFACTURING FIRE,"Friday, April 4, 2014",Little Berlin and Philadelphia Public History Truck presents…,
March 2014,https://little-berlin.squarespace.com/calendar/2014/3/29/the-place-of-dead-roads-closing-performance,The Place of Dead Roads Closing Performance,THE PLACE OF DEAD ROADS CLOSING PERFORMANCE,"Saturday, March 29, 2014","Little Berlin presents an exhibition in which individual artists explore their vision by creating an environment of homespun pizzazz, performance, and serendipity. 

The Place of Dead Roads
Curated by Tyler Kline

Closing March 29th 6-10PM

Little Berlin
At Viking Mill
Boston St. at Coral St.
2430 Coral St. Philadelphia, PA 19125
Artists
Tim Eads
Beth Heinly
Jenny Drumgoole

An ongoing experiment in aleatoric strategies inspired by the last three novels written by William S. Burroughs II, The third in a trilogy of non-linear exhibitions, The Place of Dead Roads takes its name from the second book in William S. Burroughs’ cataclysmic “Cities” saga. Ciphers, cathartic performance, kinetic machines, and handmade environments mark the break down and reformation of linguistics, symbolic thought, and ritual.
Celebrating the triumph of the Viking Mill at the Hands of the city of Philadelphia License and Inspections, this installation is based on the interaction of individual vision and communal practice; the braiding of sign, signifier, and symbol will draw a thread linking visionary practice, rhythmic interpretation, and cultivation of chance. 
“We’re not fighting for a scrap of sharecropper immortality with the strings hanging off it like Mafioso spaghetti. We want the whole tamale. The Johnsons are taking over the Western Lands. We built it with our brains and our hands. We paid for it with our blood and our lives. It’s ours and we’re going to take it. And we are not applying in triplicate to the Immortality Control Board. Anybody gets in our way we will get our communal back against a rock or a tree and fight the way a raccoon will fight a fucking dog.” 

— William S. Burroughs, The place of Dead Roads",
February 2014,https://little-berlin.squarespace.com/calendar/2014/2/7/little-white-cubes-part-ii-little-berlin-at-the-dcca,Little White Cubes: Part II – Little Berlin at the DCCA,LITTLE WHITE CUBES: PART II – LITTLE BERLIN AT THE DCCA,"Friday, February 7, 2014","Join us in Wilmington, Delaware on Friday, February 7th, 2014 for the opening reception of our exhibition at the Delaware Center for the Contemporary Arts. The reception will include performances by neighborhood rockers SPACIN’, and gallery artists Eileen Lillian Doyle, Rev. Eric Danger Clark, MA JA KA, and Fade Sunshine.

Little White Cubes: Part II - Little Berlin
Opening Reception on Friday, February 7th 
5:00pm-9:00pm
MORE INFO AND RSVP HERE

Refreshments and Performances will be provided.
at the Delaware Center for the Contemporary Arts
200 South Madison Street | Wilmington, DE 19801

Description of Exhibition:
Exhibit Dates: Jan 18, 2014 – Feb 23, 2014
Location: Constance S. & Robert J. Hennessy Project Space

 

The Philadelphia-based artistic collaborative Little Berlin repurposes the Hennessy Project Space as an improvised art space for Little White Cubes, a curatorial project that contextualizes the gallery as work of art or creative medium. Founded in 2007 by two artists, Little Berlin identifies itself as an “undefined exhibition space” run by approximately ten members who approach curating from a creative, collaborative perspective. Current Little Berlin members treat the DCCA gallery as a makeshift satellite of the actual gallery located in Philadelphia’s Kensington neighborhood. Installing a TV stack for screening documentation of prior events, a “zine” library with armchair seating, a live video feed, and performance area in the gallery, Little Berlin’s treatment of the museum space exemplifies new media experimentation coupled with a do-it-yourself ethos.

Many artists have subverted the presumed neutrality of the “white cube” exhibition space by parodying or critiquing the authority behind a museum’s institutional framework. In 1970, Tom Marioni invented the Museum of Conceptual Art in San Francisco and began his social sculpture, Drinking Beer with Friends is the Highest Form of Art. Kate Ericson and Mel Ziegler’s MoMA Whites (1990) featured a gallery painted with different colors of white preferred by various curators of the Museum of Modern Art. Adopting a paraprofessional identity and working in the genre of Institutional Critique, in the 1990s artist Andrea Frasier delivered a tour as a museum docent, deconstructing museological education and calling the traditional role of the artist into question. Other contemporary artists of the 2000s, such as the Yes Men duo, appropriate corporate identity in order to camouflage themselves as business CEOs in various settings. In current socially engaged artistic practice, many artists increasingly eschew the title of Artist altogether, announcing themselves as politicians, farmers, or urban planners, for example, who treat the gallery as civic center, community garden, or public design studio.

-Maiza Hixson
Gretchen Hupfel Curator of Contemporary Art

Performance Schedule:
6:00-6:30 warm up with FADE SUNSHINE (Lee Tusman)
Performed by Lee Tusman, Fade Sunshine is a master of high art hype. Mixing hip hop with slow radio and beats with rock n’ roll he gets your knees jerking and elbows flapping in a context unusual for a typical fine art museum. This is the flagship of Tusman’s lable Jewish Noise, and there will be no glitched out remix left behind.

6:30-6:50 MA JA KA
Is the wandering dream body of Marshall James Kavanaugh. Part anima, part unicorn he often can be found playing the trumpet creating vast dreamscapes for others to travel in or working as a dream poet for hire selling stream of subconscious poems. His main function is that of a dream laborer, hypnotizing his audience into a subconscious plane of existence where the mountains are tall, the sun shines bright, and the party is always echoing with good vibes.

7:00-7:20 REV. ERIC DANGER CLARK
Clark attained internet viral success upon the completion of his performance “My Mouth Is Open Because I Am Hungry”, at the Little Berlin Block Party last summer. A stranger posted a photo on the WTF? section of reddit and within minutes it became a trending feed with most viewers wondering what was even happening in the photo much less who this zany person in a gimp suit might be. Is this art?, they asked. Kid today, they said. Clark is a revolutionary of the shock factor performing rituals that even a satanist might find otherworldly.

7:30-7:50 EILEEN LILLIAN DOYLE
Curator of the nationally touring performance festival, Garbage World, Doyle is a world class hero for the avant garde. Many parallels could be made between Doyle and Charlotte Moorman who starting in the 60s single handedly organized 20+ years of the weirdest and wildest avant garde festivals in New York City, bringing together notable characters such as Nam June Paik and John Cage. Doyle works mostly out of Chicago and Philadelphia and her performers, as well as her own station as host, appear no less brilliant.

8:00-9:00 SPACIN’
Spacin’ is a psychedelic rock band based in East Kensington, Philadelphia. Their first LP was put out last year by Richie Records (Kurt Vile, Birds of Maya, Cockcleaner, etc). It offers a refreshing homage to rock n’ roll legends like the Stooges and MC5 while taking on a new paradigm for any Deadhead. The rhythms and blues are far out and made for spacing out.",
November 2013,https://little-berlin.squarespace.com/calendar/2014/11/23/citywide-collections-project-little-berlin,CITYWIDE collections project little berlin,CITYWIDE COLLECTIONS PROJECT LITTLE BERLIN,"Saturday, November 23, 2013","the citywide collections project
little berlin with unknown contributors

hosted by Pterodactyl
3237 Amber St, 5th floor

Opening reception: Saturday, 11/23 from 7-10pm

Throughout November, artist-run spaces throughout Philadelphia have hosted CITYWIDE: A Collective Exhibition. Now it’s Little Berlin’s turn! Join us this Saturday at Pterodactyl Gallery as we present The Citywide Collections Project. After months of picking up and sorting donated objects left in our collection bins by anonymous collaborators, our efforts have culminated in this odd, surprising, quirky, wry, uncertain assemblage of items. Objects were curated by Little Berlin into ten categories:
Lost,
Found,
Intimate,
From a stranger,
Radical,
Boring,
Valuable,
Worthless,
Missing a part, and
Part of something else.

Hosted by Pterodactyl and featuring refreshments and music, the opening runs from 7-10pm at 3237 Amber St, 5th Floor. We invite you to additional objects meeting one or more of the above criteria to add to the collection throughout the evening.

[FACEBOOK]

For more information, see littleberlin.org/citywide and pterodactylphiladelphia.org.",
October 2013,https://little-berlin.squarespace.com/calendar/2013/10/17/limits-and-demonstrations-a-lula-chamberlain-retrospective,Limits And Demonstrations: A Lula Chamberlain Retrospective,LIMITS AND DEMONSTRATIONS: A LULA CHAMBERLAIN RETROSPECTIVE,"

          Thursday, October 17, 2013


            7:00 PM
            19:00




          Sunday, October 20, 2013


            9:00 PM
            21:00


        ","Little Berlin presents Limits and Demonstrations: A Lula Chamberlain Retrospective, marking the first major posthumous showcase of the little-known pioneering new media installation artist Lula Chamberlain’s work in over twenty years. This groundbreaking exhibition features a virtual museum game presented in a cinema inside the gallery as well as a physical gallery exhibition retrospective. 

Chamberlain was a contemporary of Nam June Paik, John Cage and other avant-garde new media artists. Because her works were never successfully exhibited in public and due to her choice to relocate to Mexico she is not widely known, even amongst the artworld.

The exhibition consists of two parts. Visitors first enter a theater where they collectively play a digital videogame that is a virtual museum environment where Chamberlain’s artworks are shown in their idealized forms. The virtual museum was created by the game development company Cardboard Computer, directed by Jake Elliott and Tamas Kemenczy. The gallery exhibition is curated by Lee Tusman of Little Berlin.

There is a beauty to the virtual museum as the original works share a confounding legacy that they were never successfully displayed in their debut exhibitions as they were nearly impossible to install at the time. Galleries and museums balked at the scale, power requirements, and highly-skilled labor involved in maintaining Chamberlain’s works for display. Some of their debuts collapsed under the weight of logistics. The second part of the gallery exhibition at Little Berlin consists of the actual artworks on loan from collectors, artists, various museums and archives in Mexico and the United State as well as recreated works based on the artist’s original plans where the original has been lost.

Some of the works on display are damaged from deterioration or neglect. One of the most exciting works on display includes the artist’s piece ""Overdubbed Nam June Paik installation, in the style of Edward Packer"" in which Chamberlain, inspired by Robert Rauschenberg’s ""Erased De Kooning Drawing"" overdubbed her own audio onto a Nam June Paik cassette tape installation work.

The degraded installations stand in stark contrast to their idealized forms displayed in the videogame retrospective that shows the strength of the artist’s vision. The pursuit of this exhibition of Chamberlain’s work helps finally bring attention to this neglected but important new media artist. It is hoped that this exhibition is the first of many to come.",
September 2013,https://little-berlin.squarespace.com/calendar/2013/9/27/states-of-matter,States of Matter,STATES OF MATTER,"Friday, September 27, 2013","A Performance and Open Session

Jon Katz – Alto Sax (Music Director)
Emma MacDonald – (Choreographer, Dancer)
Julee Mahon – Dancer | Dan Loeb – Tenor Sax | Ryan McNeely – Guitar | James Santangelo – Piano | Jordan Berger – Bass | Kevin Daly – Drums

Focusing on the forms of movement and sound, we find our common artistic thread - States of Matter. Original music and arrangements that span from Bach to Bjork with a foundation in experimental jazz. Following the performance: musicians, dancers, and artists are welcome to improvise. $5 suggested donation for artists. The event will end by 11 p.m.",
August 2013,https://little-berlin.squarespace.com/calendar/2013/8/30/enter-hurricane,Enter Hurricane,ENTER HURRICANE,"Friday, August 30, 2013","a space where dancers/choreographers/composers/filmmakers collide. 

a free showing of two works in progress

Featuring ""Third Party Consequences"" by choreographer Megan Mizanty, in collaboration with composer Sabrina Clarke
and ""Third Human Arm"" by Choreographer Rori Smith, in collaboration with filmmakers Sam Campbell and Claire Truman

Performers: Claire Lutz, Kate Abernethy, Julee Mahon, Emma MacDonald, Sam Campbell, Rori Smith and Claire Truman 

In “Third Party Consequences,” Mizanty explores movement that doesn’t give a shit. She is interested in ‘the butterfly effect,’ and how small decisions made by one body part undually and significantly affects another, for better or worse. Composer Sabrina Clarke works with and against this movement.

In ""Third Human Arm"" dancer Rori Smith and filmmakers Sam Campbell and Claire Truman collaborate to explore the possible uses of Steadicam in live performance. Smith and Truman dance while Campbell operates the Steadicam, a wearable camera mount designed to maintain a smooth and stable picture while the camera operator moves through the performance space. A live video stream from the camera provides the audience a chance to witness the dance from a variety of perspectives, including through the eyes of the dancers. 

The collaboration for Third Human Arm began while Smith and Campbell worked together on a short film. Witnessing Campbell operate the Steadicam, Smith recognized that the craft demands an awareness of the body in space and an attention to movement detail similar to dance. This performance tests how Campbell’s moving body might integrate with the movements of the dancers on stage. The choreography is inspired by the purpose of the Steadicamhi, to maintain stability within uninhibited mobility.",
July 2013,https://little-berlin.squarespace.com/calendar/2013/7/26/garbage-world-7-garbage-fest-2,Garbage World 7 - Garbage Fest 2,GARBAGE WORLD 7 - GARBAGE FEST 2,"

          Friday, July 26, 2013


            7:00 PM
            19:00




          Saturday, July 27, 2013


            10:00 PM
            22:00


        ","Two days (July 26 & 27 7-10PM), 17 performances by:

Emma A. Branson & Bridget McEnerney
Eric Clark
Tamar Dart
Jake Dibeler (NYC)
Hanna Hamilton
Kris Harzinski & Will Haughery
Sarah Hill (Boston)
Cory Kram
Marie Manski & Scott Schultheis
Celine McBride
Hayley Morgenstern (Boston)
Hanna M. Owens (Chicago)
Alien Moon Partnership (Boston)
Antibody Corporation (Chicago)
Alexandra Sutton
Alex Walcroft
Elspeth Walker (NYC)

Hosted, as always, by Gertie Garbage.

$5-7 requested donation for traveling artists. Doors open at 6:30PM, and show starts promptly at 7PM.",
June 2013,https://little-berlin.squarespace.com/calendar/2013/6/22/lonely-magic-release-party-gone-shadowing,Lonely Magic Release Party (Gone Shadowing),LONELY MAGIC RELEASE PARTY (GONE SHADOWING),"Saturday, June 22, 2013",Facebook Event Page,
May 2013,https://little-berlin.squarespace.com/calendar/2013/5/31/muddy-muddy-mud-finger,muddy muddy mud finger,MUDDY MUDDY MUD FINGER,"Friday, May 31, 2013","From the beginning and into forever, human existence is nourished through harmonious transformation of earthly materials gathered from daily surroundings. During the month of May, Little Berlin provides a platform to explore this harmony through artistic function. Participants will paint, excavate, destruct, build, perform, and immerse themselves with earthly materials and found objects as to transform a collective space. A primitive language of mark-making, sound, and assemblage transcends our current position within a North Philly gallery into a cave of dimly lit earthly experimentation. 

There will be an opening/closing reception on Friday, May 31st(7-10pm) to exhibit the findings... 
featuring music by TOTAL OBESITY
performance by Vince Johnson
curated by Adam Lovitz, !!!!!!!!!!!KEEP IT UP

Facebook Event

Flickr",
April 2013,https://little-berlin.squarespace.com/calendar/2013/4/14/repeat,REPEAT,REPEAT,"Friday, April 5, 2013","Little Berlin invites you to join us for the opening reception of REPEAT – a month long exhibition curated by Peter Erickson.

REPEAT consists of appropriated content, downloaded from the internet, and re-produced. The work explores a range of copyrighted and open source material; all of which is borrowed without the prior knowledge or consent of the original creators.

The purpose the exhibition is to question the legal and ethical implications of re-using readily available, unaltered digital information. REPEAT focuses on the product of converting digital media into physical media. It seeks to understand perceptions of ownership and value, when unique physical objects are re-created, and re-contextualized within a gallery setting. Visitors can expect to see objects including massive vinyl banners, photographic c-prints, cnc routed sintra, life sized foam cut out figures, and a 3d print.


Wednesday, April 24th, 7 – 9pm: 

Little Berlin will host a round table discussion on the topics of appropriation, replication, copyright, creative commons, and ownership.

Acknowledgements to co-curators, and facilitators: Jason Hsu, Lee Tusman, Tyler Kline, Dave Kyu, Johnny Benson, Nicole Killian, Joel Evey, Mark Corey, Alec Ricciuti, and the Internet at large.

 

Facebook Event",
March 2013,https://little-berlin.squarespace.com/calendar/2013/3/2/platos-porno-cave-the-new-world,Plato’s Porno Cave: The New World,PLATO’S PORNO CAVE: THE NEW WORLD,"

          Saturday, March 2, 2013


            8:00 PM
            20:00




          Saturday, March 30, 2013


            2:00 AM
            02:00


        ","A social gathering of absurdist performance art, drinks, sun dance, and a crafting of mythology for the New World. The inspiration for the exhibition is derived from Plato’s Republic and the Mayan creationist text the Popol Vuh. Through a month of programming Plato’s Porno Cave seeks to create a mythology for a truly new world. Bring your friends for performances that will enchant your unconscious mind!

Curated by Augustus Depenbrock and Marshall James Kavanaugh

 

[Facebook]

Plato’s Porno Cave

The inspiration for the exhibition is derived from Plato’s Republic and his model for Utopia in the city Kallipolis (or “beautiful city”). In this text, Socrates defines a good city as a city where justice is its main virtue. By combining these ethics with other creationist myths such as the Mayan text, the Popol Vuh, and a surreal month of programming, Plato’s Porno cave seeks to create a mythology for a truly new world.

On Saturday, March 2nd participants will be born again, entering a realm of wonder and radical opposites. Introduced upon them by the Visionaries of the Twin Beard, who created The Machine to Move the Sun, participants will be led through various orgone accumulators, sacrificing the hardships of their past in order to accept the pleasures of the present. The exhibition will be an experiment in economics, science, language, and physical reality and will stand as a stationary structure and event space throughout the month of March as a testament to the New World.",
November 2012,https://little-berlin.squarespace.com/calendar/2011/11/24/internet-abusers-anonymous,INTERNET ABUSERS ANONYMOUS,INTERNET ABUSERS ANONYMOUS,"Saturday, November 24, 2012","closing reception for >get >put IRL
http://get-put.net/

Saturday, November 24th, 2012 from 6-9PM EST

@ little berlin g a l l e r y
P H I L A D E L P H I A
2430 Coral Street, 19125

INTERNET AB/USERS ANONYMOUS around-the-table discussion and post-holiday reInternet time. Join us for a talk on the topic of downloading and uploading, with the artists + collaborators, technicians IRL and virtual guests and you at 7PM. 

Live performance streaming from the Internet to follow 8PM. The entire event will be livestreamed, too unless the connection goes down. 

PARTICIPANTS:
Moderated by Kelani Nichole, with Zoë Salditch, Nicholas O'Brien (skype guest), Alexandra Gorczynski, Giselle Zatonyl, Derek Frech (online too), Ben Farahmand + you.

PERFORMANCE:
Virtual visits from Rollin Leonard, Erik Rzepka, LaTurbo Avedon, Nicole Killian + more guests IRL + streaming.

JOIN US at little berlin in Philadelphia. 
Food + Drink will be available 'round the table, bring something to share if you can.

If you're interested in joining the discussion please write to berlin.little@gmail.com

Curated by Kelani Nichole",
October 2012,https://little-berlin.squarespace.com/calendar/2012/10/21/whitmen,Whitmen,WHITMEN,"Sunday, October 21, 2012","Little Berlin is pleased to announce an evening of poetry readings curated by Keith J. Varadi and hosted by Ross Moreno. The evening will occur October 21, doors open at 6:30pm and reading starts at 7pm.

Readers inlcude:

Paul Legault (Brooklyn, NY) -- two books published by Omnidawn and Fence and featured publications in McSweeney's (English-to-English translations of Emily Dickinson poems), The Awl, and The Boston Review

Edward Marshall Shenk (Lancaster, PA) -- co-founder of Reference Gallery (Richmond, VA)

Jacob Pastrovich (Brooklyn, NY) -- photography, journalist, and poet; exhibited at the Cleveland Museum of Art and Project Basho; has books and zines in nation and international collections; 

Keith J. Varadi (Brooklyn, NY) -- artist, poet, musician; published two chapbooks and featured writing in Unsaid Magazine; performs in the band Picayune; lectured at the Blanton Museum of Art, Univeristy of Virginia, and University of Iowa; and was awarded residencies at the Edward F. Ablee's Foundation and the Vermont Studio Center",
September 2012,https://little-berlin.squarespace.com/calendar/2012/9/29/byoty-book-fair-4-free-for-all,BYOTY BOOK FAIR 4 FREE FOR ALL,BYOTY BOOK FAIR 4 FREE FOR ALL,"Saturday, September 29, 2012","little berlin’s 4th annual Bring Your Own Table, Yo Book Fair is upon us, MAKERS sign up! library.littleberlin.org/newz 
It’s free 4 all this year! BYOTY features artist books, zines, comics, poetry and all things considered from self publishers from the Philadelphia area and beyond. Browse our list of participants, which will all be available for sale on September 29th, 2012 from noon-6pm. So, come on down and read! Support independent thought…and art! <---:)

Home brewed beer by Howie Ross this year...bender bitter beer...

12-6PM

Annette Monnier & Gerik Forston/Philagov, barely controlled chaos, most likely some drawings of cats. FUN

Beth Heinly/writes under the pseudonym 3:00 – public transportation satire & horror comics.

Claire Folkman & Kelly Phillips/Dirty Diamonds: an all girl comic anthology

Corey Bechelli/”Straight Tripping” various comics with no words about evolution and the universe.

David Dempewolf/Machete, art reviews + critical theory + philosophy + humor

Jo-Jo Sherrow/Captcha – comic books

Lee Tusman/international urban phenomena photos + texts.

Michael McCullough/poetry

Mike Sgier/Comics – Cid & Francis, Supernova Lullaby. Also, illustration and relief prints.

Pat Aulisio/yeah dude comics

Tyler Kline/peripheral surveillance strategies, exploring the ultra-real",
